target,transformation,model,true_positive,false_positive,true_negative,false_negative,positive_F1,negaitve_F1,mean_F1
Beach,None,GLM,219,149,1425,132,0.6091794158553546,0.9102523155541361,0.7597158657047454
Beach,Root 4,GLM,229,140,1434,122,0.6361111111111111,0.91629392971246,0.7762025204117855
Beach,PaCMAP,GLM,248,63,1511,103,0.7492447129909365,0.9479297365119197,0.8485872247514281
Beach,None,Random Forest,196,23,1551,155,0.6877192982456141,0.9457317073170731,0.8167255027813436
Sunset,None,GLM,212,61,1588,64,0.7723132969034608,0.9621326870645259,0.8672229919839933
Sunset,Root 4,GLM,214,52,1597,62,0.7896678966789668,0.9655380894800484,0.8776029930795075
Sunset,PaCMAP,GLM,221,20,1629,55,0.8549323017408124,0.9774977497749775,0.9162150257578949
Sunset,None,Random Forest,221,5,1644,55,0.8804780876494024,0.982078853046595,0.9312784703479987
FallFoliage,None,GLM,213,133,1467,112,0.6348733233979136,0.922931739540736,0.7789025314693248
FallFoliage,Root 4,GLM,233,119,1481,92,0.6883308714918759,0.9335014182161991,0.8109161448540375
FallFoliage,PaCMAP,GLM,261,60,1540,64,0.8080495356037152,0.9612983770287141,0.8846739563162147
FallFoliage,None,Random Forest,247,9,1591,78,0.8502581755593803,0.9733863566840012,0.9118222661216908
Field,None,GLM,263,108,1470,84,0.7325905292479109,0.9386973180076629,0.8356439236277868
Field,Root 4,GLM,267,115,1463,80,0.7325102880658436,0.93752002563281,0.8350151568493268
Field,PaCMAP,GLM,279,42,1536,68,0.8353293413173652,0.9654305468258957,0.9003799440716305
Field,None,Random Forest,262,29,1549,85,0.8213166144200627,0.9645080946450809,0.8929123545325718
Mountain,None,GLM,202,189,1309,225,0.4938875305623472,0.8634564643799473,0.6786719974711473
Mountain,Root 4,GLM,212,188,1310,215,0.5126964933494559,0.8666887198147536,0.6896926065821047
Mountain,PaCMAP,GLM,178,95,1403,249,0.5085714285714286,0.8907936507936508,0.6996825396825397
Mountain,None,Random Forest,139,29,1469,288,0.4672268907563025,0.9026113671274961,0.6849191289418993
Urban,None,GLM,180,151,1437,157,0.5389221556886228,0.9032055311125079,0.7210638434005654
Urban,Root 4,GLM,177,147,1441,160,0.5355521936459909,0.9037315772969583,0.7196418854714746
Urban,PaCMAP,GLM,175,104,1484,162,0.5681818181818182,0.9177489177489178,0.742965367965368
Urban,None,Random Forest,124,27,1561,213,0.5081967213114754,0.9286139202855443,0.7184053207985099
